dataset,n_records,n_subjects,n_tasks,nchans_set,sampling_freqs,duration_hours_total
ds004000,86,43,2,128,2048,0.0
ds004995,20,20,1,,,0.0
ds003638,57,57,1,64,512,40.597
ds004521,34,34,1,62,250,0.057
ds001849,120,20,1,30,5000,0.0
ds004252,1,1,1,,,0.0
ds004448,280,56,1,129,1000,43.732
ds005795,39,34,2,72,500,0.0
ds004018,32,16,1,63,1000,0.0
ds004324,26,26,1,28,500,19.216
ds003887,24,24,1,128,1000,0.0
ds004860,31,31,1,32,"2048,512",0.0
ds002721,185,31,6,19,1000,0.0
ds003555,30,30,1,,1024,0.0
ds005486,445,159,1,,"25000,5000",0.0
ds005520,69,23,3,67,1000,60.73
ds005262,186,12,1,,,0.0
ds002778,46,31,1,40,512,2.518
ds003885,24,24,1,128,1000,0.0
ds005406,29,29,1,63,1000,15.452
ds003710,48,13,1,32,5000,9.165
ds003343,59,20,1,16,500,6.551
ds005345,26,26,1,64,500,0.0
ds004067,84,80,1,63,2000,0.0
ds001810,263,47,1,64,512,91.205
ds005515,2516,533,8,129,500,198.849
ds005516,3397,430,8,129,500,256.932
